C,R
Am a Christian/Jew/Muslim/Atheist.,
Am a baker,
Am a businessman/businesswoman.,
Am a citizen.,
,Am a friend
,Am a friend.
Am a hobbyist.,
Am a member of a faith community,
Am a musician,
,Am a neighbor.
,Am a parent
Am a scientist,
,Am a sibling
,Am a son/daughter/parent.
Am a student.,
Am a traveler,
Am a volunteer.,
Am an athlete,
Am an athlete/artist/musician.,
Am an educator,
I am  a gamer.,
I am  a human being.,
,I am  a mom.
I am 18 years old.,
I am 20 years old.,
I am 23 years old.,
I am 25 years old.,
I am 25-years-old.,
I am 27 years old.,
I am African American,
I am African American.,
I am African-American.,
I am American,
I am American or Canadian.,
I am American.,
I am Asian.,
I am Asian/African American/Caucasian/Latino/Native American.,
I am Black.,
I am Buddhist.,
I am Canadian,
I am Catholic,
I am Catholic or Protestant.,
I am Catholic.,
I am Catholic/Christian/Jewish/Muslim/Hindu/etc.,
I am Caucasian or African-American.,
I am Caucasian.,
I am Christian,
I am Christian.,
I am Christian/Muslim/Jewish/Hindu/etc.,
I am European.,
I am Female,
I am French-Canadian.,
I am Hindu,
I am Hispanic,
I am Hispanic.,
I am Italian American.,
I am Jewish.,
I am Jewish/Catholic/Muslim.,
I am LGBT+.,
I am LGBTQ+,
I am LGBTQ+.,
I am LGBTQ.,
I am Latina.,
I am Latino/Hispanic.,
"I am Lesbian, Gay, Bisexual, Transgender, or Queer/Questioning (LGBTQ).",
I am Male,
I am Male.,
I am Muslim,
I am a  student.,
I am a 21 year old college student.,
I am a 23 year old female.,
I am a 26-year-old,
I am a 40-something.,
I am a Baseball Fan.,
I am a Brooklynite.,
I am a Business Owner.,
I am a Canadian/American/etc. citizen.,
I am a Catholic,
I am a Catholic.,
I am a Catholic/Protestant/Jewish/Atheist/other religion.,
I am a Caucasian.,
I am a Christian,
I am a Christian or a follower of another faith.,
I am a Christian or other religious adherent.,
"I am a Christian, Hindu, Muslim, or atheist.",
I am a Christian.,
I am a Christian/Atheist/Hindu/agnostic/etc.,
I am a Christian/Atheist/Muslim/Agnostic.,
I am a Christian/Buddist/Muslim/Atheist.,
I am a Christian/Hindu/etc.,
"I am a Christian/Jew/Muslim, etc.",
I am a Christian/Jew/Muslim/Atheist.,
I am a Christian/Jew/Muslim/etc.,
I am a Christian/Jewish/Muslim/Atheist/etc.,
I am a Christian/Jewish/Muslim/Hindu/Buddhist/etc.,
I am a Christian/Muslim/Buddhist (or any other religion).,
I am a Christian/Muslim/Buddhist/etc.,
I am a Christian/Muslim/Hindu/Atheist etc.,
I am a Christian/Muslim/Hindu/Jew.,
I am a Christian/Muslim/Hindu/Jew/etc.,
I am a Christian/Muslim/Hindu/other spiritual affiliation.,
I am a Christian/Muslim/Jew/Hindu etc.,
I am a Christian/Muslim/Jewish/Hindu/Buddhist.,
I am a Citizen of a particular nation.,
I am a College Student.,
,I am a Daughter/Son.
I am a Democrat,
I am a Democrat or Republican.,
I am a Democrat or a Republican.,
I am a Democrat.,
I am a Democrat/Republican.,
I am a Democrat/Republican/Independent,
I am a Democrat/Republican/Independent.,
I am a Democrat/Republican/Independent/etc.,
I am a Democratic voter.,
I am a Discord user.,
I am a Doctor.,
I am a First Nations person.,
,I am a Friend.
I am a Friends fan.,
I am a Gamer.,
I am a Gemini.,
I am a Gen Xer.,
I am a Hairdresser.,
I am a Hispanic.,
I am a Housewife.,
I am a Jew.,
I am a Latino.,
I am a Liberal political supporter.,
I am a Liberal.,
I am a Libertarian.,
I am a Loyalist.,
I am a Manager.,
I am a Microsoft Office user,
I am a Muscovite.,
I am a Music Lover.,
I am a Musician.,
I am a Muslim.,
