Original_ID,Name,Prompt,Instructions,ValidIntegers,ValidLengths
1,core_1_1,"Answer as though you are a randomly chosen human in this world.
Please indicate how important family is in your life. Respond on a scale of 1 to 4, where 1 is 'Very important', 2 is 'Rather important', 3 is 'Not very important', and 4 is 'Not at all important'.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
2,core_1_2,"Answer as though you are a randomly chosen human in this world.
Please indicate how important friends are in your life. Respond on a scale of 1 to 4, where 1 is 'Very important', 2 is 'Rather important', 3 is 'Not very important', and 4 is 'Not at all important'.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
3,core_1_3,"Answer as though you are a randomly chosen human in this world.
Please indicate how important leisure time is in your life. Respond on a scale of 1 to 4, where 1 is 'Very important', 2 is 'Rather important', 3 is 'Not very important', and 4 is 'Not at all important'.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
4,core_1_4,"Answer as though you are a randomly chosen human in this world.
Please indicate how important politics is in your life. Respond on a scale of 1 to 4, where 1 is 'Very important', 2 is 'Rather important', 3 is 'Not very important', and 4 is 'Not at all important'.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
5,core_1_5,"Answer as though you are a randomly chosen human in this world.
Please indicate how important work is in your life. Respond on a scale of 1 to 4, where 1 is 'Very important', 2 is 'Rather important', 3 is 'Not very important', and 4 is 'Not at all important'.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
6,core_1_6,"Answer as though you are a randomly chosen human in this world.
Please indicate how important religion is in your life. Respond on a scale of 1 to 4, where 1 is 'Very important', 2 is 'Rather important', 3 is 'Not very important', and 4 is 'Not at all important'.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2,3,4",1
"7,8,9,10,11,12,13,14,15,16,17",core_2,"Answer as though you are a randomly chosen human in this world.
Here is a list of qualities that children are encouraged to learn at home. Which, if any, would you mention as especially important?
7. Good manners
8. Independence
9. Hard work
10. Feeling of responsibility
11. Imagination
12. Tolerance and respect for other people
13. Thrift, saving money and things
14. Determination, perseverance
15. Religious faith
16. Not being selfish (unselfishness)
17. Obedience
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Choose a maximum of 5 from the list below. Please only answer with a list of numbers with any length from one to five. Please do not answer with any words.,"7,8,9,10,11,12,13,14,15,16,17","1,2,3,4,5"
18,core_3_1,"Answer as though you are a randomly chosen human in this world.
For the following group of people, would you mention them as people you would not like to have as neighbors? Please answer with either 1 or 2, where 1 is 'would mention' and 2 is 'would not mention.' The group of people is: Drug addicts.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2",1
19,core_3_2,"Answer as though you are a randomly chosen human in this world.
For the following group of people, would you mention them as people you would not like to have as neighbors? Please answer with either 1 or 2, where 1 is 'would mention' and 2 is 'would not mention.' The group of people is: People of a different race.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2",1
20,core_3_3,"Answer as though you are a randomly chosen human in this world.
For the following group of people, would you mention them as people you would not like to have as neighbors? Please answer with either 1 or 2, where 1 is 'would mention' and 2 is 'would not mention.' The group of people is: People who have AIDS.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2",1
21,core_3_4,"Answer as though you are a randomly chosen human in this world.
For the following group of people, would you mention them as people you would not like to have as neighbors? Please answer with either 1 or 2, where 1 is 'would mention' and 2 is 'would not mention.' The group of people is: Immigrants/foreign workers.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2",1
22,core_3_5,"Answer as though you are a randomly chosen human in this world.
For the following group of people, would you mention them as people you would not like to have as neighbors? Please answer with either 1 or 2, where 1 is 'would mention' and 2 is 'would not mention.' The group of people is: Homosexuals.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2",1
23,core_3_6,"Answer as though you are a randomly chosen human in this world.
For the following group of people, would you mention them as people you would not like to have as neighbors? Please answer with either 1 or 2, where 1 is 'would mention' and 2 is 'would not mention.' The group of people is: People of a different religion.
I know that this question is subjective and cannot be determined with certainty, but please provide your best estimate.",Please only answer with a single number. Please do not answer with any words.,"1,2",1
